title,category,price_usd,filename
AI Email Overload Reset,AI productivity,19.99,ai-email-overload-reset.pdf
Prompt Library Starter,AI productivity,17.99,prompt-library-starter.pdf
AI Content Workflow Sheet,AI productivity,18.99,ai-content-workflow-sheet.pdf
Client Reply Efficiency Planner,AI productivity,16.99,client-reply-efficiency-planner.pdf
Automation Review Checklist,AI productivity,18.99,automation-review-checklist.pdf
Daily Content Sprint Plan,AI productivity,17.99,daily-content-sprint-plan.pdf
Marketing Prompt Vault,AI productivity,18.99,marketing-prompt-vault.pdf
Prompt Fatigue Recovery,AI productivity,17.99,prompt-fatigue-recovery.pdf
AI Tool Cost Tracker,AI productivity,16.99,ai-tool-cost-tracker.pdf
ChatGPT Workflow Guide,AI productivity,18.99,chatgpt-workflow-guide.pdf
Business Owner Weekly Reset,Business ops,19.99,business-owner-weekly-reset.pdf
Service Business Sales Tracker,Business ops,18.99,service-business-sales-tracker.pdf
Daily Owner Dashboard,Business ops,19.99,daily-owner-dashboard.pdf
Operations Bottleneck Map,Business ops,18.99,operations-bottleneck-map.pdf
Client Delivery Checklist,Business ops,17.99,client-delivery-checklist.pdf
Workflow Cleanup Worksheet,Business ops,18.99,workflow-cleanup-worksheet.pdf
Pipeline Review Sheet,Business ops,17.99,pipeline-review-sheet.pdf
Task Priority Compass,Business ops,16.99,task-priority-compass.pdf
Team Communication Tracker,Business ops,18.99,team-communication-tracker.pdf
Executive Focus Planner,Business ops,19.99,executive-focus-planner.pdf
Mortgage Payment Stress Sheet,Finance,18.99,mortgage-payment-stress-sheet.pdf
Rent-to-Income Check,Finance,17.99,rent-to-income-check.pdf
Savings Goal Tracker,Finance,16.99,savings-goal-tracker.pdf
Emergency Budget Planner,Finance,18.99,emergency-budget-planner.pdf
High-Interest Debt Tracker,Finance,17.99,high-interest-debt-tracker.pdf
Cash Flow Weekly Reset,Finance,18.99,cash-flow-weekly-reset.pdf
Subscription Cleanup Sheet,Finance,15.99,subscription-cleanup-sheet.pdf
Annual Expense Forecast,Finance,19.99,annual-expense-forecast.pdf
Net Worth Snapshot,Finance,18.99,net-worth-snapshot.pdf
Budget Zero Reset,Finance,17.99,budget-zero-reset.pdf
Medical Visit Prep Sheet,Healthcare,16.99,medical-visit-prep-sheet.pdf
Dental Appointments Organizer,Healthcare,16.99,dental-appointments-organizer.pdf
